epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.483,1.18455,2.46628,1.34054,0.32519,0.24028,0.30326,0.21983,0.83258,3.17522,1.08026,0.000467512,0.000467512,0.000467512
2,1209.16,1.17838,1.81664,1.28441,0.67537,0.38194,0.35815,0.2235,1.31016,2.35315,1.38637,0.000850405,0.000850405,0.000850405
3,1808.84,1.11525,1.56705,1.27997,0.30293,0.4625,0.3549,0.23533,1.20746,2.36878,1.35258,0.00113898,0.00113898,0.00113898
4,2384.05,1.08596,1.39389,1.25206,0.45557,0.57545,0.41767,0.27864,1.07095,2.1438,1.22424,0.00100459,0.00100459,0.00100459
5,3036,1.0727,1.28033,1.21486,0.38918,0.59722,0.36493,0.25462,0.94583,1.808,1.1098,0.000863116,0.000863116,0.000863116
6,3626.11,0.9822,1.11344,1.17198,0.77279,0.52222,0.42185,0.32551,0.9192,1.29304,1.11026,0.000721645,0.000721645,0.000721645
7,4208.18,0.92312,0.95711,1.13873,0.41114,0.78889,0.48064,0.36438,0.82418,1.36223,1.03486,0.000580174,0.000580174,0.000580174
8,4776.42,0.87278,0.86615,1.09191,0.44326,0.56538,0.49811,0.39041,0.85204,1.4154,1.04415,0.000438703,0.000438703,0.000438703
9,5372.09,0.8435,0.81611,1.09433,0.48962,0.6302,0.5441,0.41996,0.82439,1.22823,1.02368,0.000297232,0.000297232,0.000297232
10,6016.06,0.74434,0.74475,1.02854,0.60091,0.61389,0.52319,0.44607,0.6298,0.94357,0.9553,0.000155761,0.000155761,0.000155761
